name,expected_class,plane,plane_mode,eps,delta_bader,delta_sigma,delta_pi,delta_mixed,n_sigma,n_pi,n_mixed
Ethylene C=C,Class1,xz,strict,0.44678646588945536,0.240465408566932,-0.1206655090326289,0.36113051629452203,0,7,1,0
trans-N2H2,Class1,xy,strict,0.1860535374666774,0.18061128389609205,-0.4224989649016959,0.6031100559279645,0,7,1,0
H2CO,Class1,xz,strict,0.08881316136795991,0.09861308337772035,-0.6228694176593587,0.7214811138580682,0,7,1,0
Acetone C=O,Class1,xz,with-mirror-H,0.06444007741651103,0.06960273280001195,-0.6010596531592716,0.6706612781038712,0,13,3,0
Benzene C-C,Class1,xy,strict,0.2316491055812182,0.13020665218680272,-0.10200027594868535,0.2322060068880685,0,18,3,0
Pyridine C2-C3,Class1,xy,strict,0.23926469986051724,0.1332500506445624,-0.08545804512997461,0.2187073759338344,0,18,3,0
Furan C2-C3,Class1,xy,strict,0.42067791983567293,0.1791708529019938,-0.07918435599192987,0.25835462231468054,0,15,3,0
Pyrrole C2-C3,Class1,xy,strict,0.37454546004851075,0.1944450215410496,-0.10622060437685305,0.30066499114021844,0,15,3,0
Thiophene C2-C3,Class1,xy,strict,0.23529699900585688,0.10508881182271923,-0.1089034889404369,0.21399184203070298,0,18,4,0
Naphthalene C1-C2,Class1,xy,strict,0.05232944747741208,0.03265352972579294,-0.095579528992923,0.12823265186479615,0,30,5,0
Pyridazine C-C,Class1,yz,strict,0.22428900724645917,0.13403037083164304,-0.11190270275843935,0.24593264263000564,0,18,3,0
Pyrimidine C-C,Class1,yz,strict,0.23598009845421486,0.12224255815443363,-0.07724340453993381,0.1994849002277132,0,18,3,0
Imidazole C2-N3,Class1,yz,strict,0.30721861838258335,0.20855384908290886,-0.3287070472278579,0.5372595291011615,0,15,3,0
Acrolein C=C,Class1,xz,strict,0.3694384132534858,0.2023582003388249,-0.12395002587279161,0.32630782468189057,0,13,2,0
trans-CH3N=NCH3,Class1,xy,with-mirror-H,0.2145211235881468,0.20718704604561078,-0.41457737723219634,0.6217643901287233,0,13,3,0
trans-CHF=CHF,Class1,xy,strict,0.7304026590697066,0.3723147072604345,-0.03881327467057391,0.4111266571068541,0,13,3,0
CF2=CF2,Class1,xz,strict,1.2342204366264142,0.5212190049341399,0.006373673260874083,0.514843496555843,0,19,5,0
trans-N2F2,Class1,xy,strict,0.38550607349461097,0.4812517276105075,-0.41908519324105986,0.9003360231499244,0,13,3,0
Butadiene 1-2,Class1,xz,strict,2.3775487537912947,0.41917808059245526,-0.35445845857261016,0.7736381427360597,0,12,3,0
HNO3 N=O,Class1,xy,strict,0.13055938379001142,0.10447270288545019,-0.20399280569706393,0.30846327010252134,0,13,3,0
SO2,Class1,xz,strict,0.23992657815917307,0.0872702932115536,-0.2126112036323838,0.2998765584523031,0,13,3,0
SO3,Class1,xy,strict,0.30071818555760776,0.13473878912905468,-0.2454067527839967,0.3801427087271186,0,16,4,0
Anthracene C1-C2,Class1,yz,strict,0.05978874734079387,0.03467709708823419,-0.139051446939048,0.1737281403949119,0,40,7,0
Cyclopropane C-C,Class2,xy,with-mirror-H,0.8444623158689097,0.2221218781623101,0.31632049771075205,-0.0941991096926363,0,9,3,0
Oxirane C-O,Class2,xz,with-mirror-H,0.17499190230507322,0.23988944854492278,1.1261248284072218,-0.886203948662195,0,9,3,0
Thiirane C-S,Class2,xz,with-mirror-H,0.5928611732132345,0.10267591753628974,0.39190010940140335,-0.2892228125039207,0,12,4,0
Fluorobenzene C-F,Class3,xz,strict,0.12693627159801402,0.0592923225723469,0.4406782364006656,-0.3813852899049376,0,21,4,0
N2F4 (planar trans) N-N,Class3,xy,strict,0.6856434604210577,0.370932607131475,-0.000750115885811864,0.3716812759828697,0,19,6,0
BH3 B-H,Class4,xy,strict,0.2799877962448045,0.09791256419220534,0.09791304569778142,0,0,4,0,0
BF3 B-F,Class4,xy,strict,0.0003082980646100797,0.0002113202102912437,-0.1558742569740322,0.15608417133600114,0,13,3,0
